Date,Revenue
2023-01-31,"$2,226"
2022-10-31,"$1,186"
2022-07-31,"$1,136"
2022-04-30,"$1,378"
2022-01-31,"$2,254"
2021-10-31,"$1,297"
2021-07-31,"$1,183"
2021-04-30,"$1,277"
2021-01-31,"$2,122"
2020-10-31,"$1,005"
2020-07-31,$942
2020-04-30,"$1,021"
2020-01-31,"$2,194"
2019-10-31,"$1,439"
2019-07-31,"$1,286"
2019-04-30,"$1,548"
2019-01-31,"$3,063"
2018-10-31,"$1,935"
2018-07-31,"$1,501"
2018-04-30,"$1,786"
2018-01-31,"$2,825"
2017-10-31,"$1,989"
2017-07-31,"$1,688"
2017-04-30,"$2,046"
2017-01-31,"$2,403"
2016-10-31,"$1,959"
2016-07-31,"$1,632"
2016-04-30,"$1,972"
2016-01-31,"$3,525"
2015-10-31,"$2,016"
2015-07-31,"$1,762"
2015-04-30,"$2,061"
2015-01-31,"$3,476"
2014-10-31,"$2,092"
2014-07-31,"$1,731"
2014-04-30,"$1,996"
2014-01-31,"$3,684"
2013-10-31,"$2,107"
2013-07-31,"$1,384"
2013-04-30,"$1,865"
2013-01-31,"$3,562"
2012-10-31,"$1,773"
2012-07-31,"$1,550"
2012-04-30,"$2,002"
2012-01-31,"$3,579"
2011-10-31,"$1,947"
2011-07-31,"$1,744"
2011-04-30,"$2,281"
2011-01-31,"$3,693"
2010-10-31,"$1,899"
2010-07-31,"$1,799"
2010-04-30,"$2,083"
2010-01-31,"$3,524"
2009-10-31,"$1,835"
2009-07-31,"$1,739"
2009-04-30,"$1,981"
2009-01-31,"$3,492"
